seq,name/first,name/last,age,street,city,state,dollar,pick
1,Mathilda,Blair,36,Odapo Court,Eneagahu,NH,$590.93,RED
2,Leila,Bush,63,Lulde Lane,Akipeveh,AK,$5523.87,GREEN
3,Scott,Massey,19,Wumozu Heights,Sepekivop,ME,$5273.42,BLUE
4,Flora,Fleming,28,Timos Highway,Okvonim,UT,$3234.04,RED
5,Angel,Willis,51,Eznu Street,Huncudlav,MA,$2020.85,WHITE
6,Troy,Richards,63,Cufo Junction,Medrebo,VA,$5900.97,GREEN
7,Glen,Soto,33,Ligu Manor,Ejaniwre,WA,$6350.32,YELLOW
8,Lulu,Vaughn,48,Dutpow Boulevard,Rupodvis,MO,$638.67,GREEN
9,Helen,Hall,43,Laggar Point,Mipbiohe,NM,$2295.67,BLUE
10,Caroline,Clark,20,Badun Glen,Midbutze,MS,$3362.02,YELLOW
11,Marc,Simpson,26,Cije Boulevard,Sukukil,KY,$9062.26,RED
12,Frank,Schwartz,63,Pebri Turnpike,Tisnepvo,MI,$3513.53,RED
13,Benjamin,Burton,19,Opef Terrace,Avmivcel,ND,$4059.91,RED
14,Edgar,Ward,65,Gezufa Park,Wirbowrib,NJ,$8168.51,YELLOW
15,Micheal,Welch,30,Wolzu Point,Sotkaciz,VA,$3274.98,RED
16,Alvin,Ellis,49,Owge View,Joffejen,MN,$5797.24,BLUE
17,Willie,Reeves,28,Ukdib Drive,Miwicdun,OH,$6737.34,WHITE
18,Hattie,Collier,52,Ospes Grove,Gimdeih,DE,$6756.25,WHITE
19,Erik,Davidson,58,Bajeb Ridge,Vuerula,TX,$4726.43,GREEN
20,Catherine,Morris,56,Maka Center,Gapibelu,MT,$6173.29,YELLOW
21,Bettie,Flowers,52,Ciosa Place,Ifizovzi,PA,$4729.74,GREEN
22,Rachel,Hansen,40,Nalu Pike,Niovla,NV,$4940.74,WHITE
23,Theodore,Tate,51,Suzpi Square,Poozehe,KS,$686.67,YELLOW
24,Glenn,Rose,43,Hadi Mill,Ubniwmim,AK,$1361.77,BLUE
25,Douglas,Dawson,56,Kobwe River,Ihivako,NV,$9230.72,WHITE
26,Bradley,Black,32,Tozgec Pike,Okunovi,MS,$6502.19,RED
27,Lida,Clarke,18,Wahve Circle,Mejepub,TX,$1713.57,BLUE
28,Francis,Edwards,59,Meuga Lane,Kosoggi,OK,$9899.19,RED
29,Georgia,Vega,48,Ressa Glen,Ehumowe,NV,$8535.22,RED
30,Inez,Hines,62,Attez Pike,Nadbuoh,ME,$2968.24,RED
31,Alberta,Jacobs,48,Ihadi River,Tewgewseb,PA,$7934.82,RED
32,Lawrence,Price,27,Tobke Park,Hojeew,PA,$9156.36,GREEN
33,Gerald,Murphy,45,Jofilo Junction,Mojmocme,VA,$1393.06,BLUE
34,Teresa,Lopez,37,Zekba Boulevard,Cisupzuv,WA,$8523.49,WHITE
35,Beatrice,Lloyd,48,Ejdo Highway,Beszobluf,MA,$2160.43,GREEN
36,Lottie,Aguilar,34,Durpo View,Gaharbup,WY,$7368.69,BLUE
37,Kathryn,Lopez,44,Tipu Mill,Akgihge,NV,$3295.60,BLUE
38,Amanda,Howard,20,Lezef Key,Cudrudi,UT,$4748.18,WHITE
39,Lucile,Mills,20,Fibke Pass,Sucvatka,MO,$5361.44,BLUE
